Image,Codec,Param,BPP,PSNR,SSIM,EncTime,DecTime
kodim04,JPEG-XL,2.8,0.6861165364583334,34.479340321429355,0.9053168090148959,0.15560459811240435,0.09141146764159203
kodim04,JPEG-XL,1.7,1.1052042643229167,36.89207915433351,0.9407317222558724,0.1587090864777565,0.09278948605060577
kodim04,JPEG-XL,1.0,1.7431640625,39.78768491912596,0.966557014430387,0.20650426857173443,0.08021949231624603
kodim04,JPEG-XL,0.4,3.3465983072916665,44.00241721638541,0.9864043553030756,0.15196346398442984,0.0759514719247818
kodim05,JPEG,10.0,0.5044759114583334,23.949707229731864,0.7385411591048422,0.003041837364435196,0.001928410492837429
kodim05,JPEG,30.0,1.036865234375,27.73145621542989,0.8749719687766161,0.0036636507138609886,0.002268570475280285
kodim05,JPEG,50.0,1.4054361979166667,29.586318892258166,0.9125271436211307,0.0039052460342645645,0.002019943669438362
kodim05,JPEG,70.0,1.8780924479166667,31.583304114789364,0.9403897452643348,0.004137877374887466,0.0027235494926571846
kodim05,JPEG,80.0,2.33380126953125,33.30127124810811,0.9566874408295517,0.004933019168674946,0.0026801666244864464
kodim05,JPEG,90.0,3.3273518880208335,36.369816405815115,0.9760168527720644,0.005458689294755459,0.0039589423686265945
kodim05,JPEG,95.0,4.590230305989583,39.20165187290766,0.9864556334478959,0.0059302449226379395,0.00380733422935009
kodim05,BPG,40.0,0.5405476888020834,26.600490809052722,0.8297386615599649,0.3166510295122862,0.20702139381319284
kodim05,BPG,35.0,0.8956705729166666,29.801104908694462,0.9089543867370722,0.3279446978121996,0.20745822694152594
kodim05,BPG,31.0,1.2945353190104167,32.56398579655433,0.9475878989027585,0.32505462411791086,0.2090899469330907
kodim05,BPG,27.0,1.8103434244791667,35.389379900980146,0.969716994359877,0.35831713676452637,0.2354340124875307
kodim05,BPG,23.0,2.4428914388020835,38.139263600452374,0.9820680986250122,0.3807768141850829,0.21230670157819986
kodim05,BPG,19.0,3.22967529296875,40.78417892135187,0.9892424539565638,0.41438070498406887,0.2127232775092125
kodim05,BPG,15.0,4.200703938802083,43.17865399624893,0.9933165126275506,0.4121747901663184,0.21307446993887424
kodim05,JPEG-XL,5.0,0.8410237630208334,28.40600231786173,0.8810257313044346,0.2190465284511447,0.088529490865767
kodim05,JPEG-XL,4.5,0.9203898111979166,28.816030576676546,0.8917334162190498,0.19880527257919312,0.07701906282454729
kodim05,JPEG-XL,3.5,1.1332194010416667,30.1808756852437,0.9172106461767999,0.1819521989673376,0.0815618447959423
kodim05,JPEG-XL,2.8,1.3554280598958333,31.426772864466198,0.936508334759194,0.18161137588322163,0.08566134050488472
kodim05,JPEG-XL,1.7,1.9334309895833333,34.08796242916903,0.9639842576844329,0.18012589309364557,0.08340880367904902
kodim05,JPEG-XL,1.0,2.7010091145833335,36.77892211835478,0.9792310155736424,0.18698710575699806,0.08309744670987129
kodim05,JPEG-XL,0.4,4.451009114583333,40.8235695582939,0.9910041443923224,0.14640087261795998,0.08783694449812174
kodim06,JPEG,10.0,0.3553263346354167,25.685190117793113,0.7275982069047346,0.005620165728032589,0.0021005449816584587
kodim06,JPEG,30.0,0.7397664388020834,29.424935007552445,0.862992951020399,0.00396812055259943,0.002189822494983673
kodim06,JPEG,50.0,1.01531982421875,31.159760716447064,0.9014941496852488,0.003893156535923481,0.002133202739059925
